key,zh-CN (source),en (translate this),notes
nav.lang_glyph_zh,中,EN,
nav.about,关于,About,
nav.career,经历,Career,
nav.work,作品,Work,
nav.contact,联系,Contact,
meta.title_suffix,赵元轩 作品集,Zhao Yuanxuan Portfolio,
meta.author,赵元轩,Zhao Yuanxuan,
hero.kicker,Designer · 设计师 · 2026 作品集,Designer · Portfolio 2026,
hero.title,从<em>混沌</em> 到<em>清晰</em>。,From <em>clutter</em> to <em>clarity</em>.,⚠ preserve HTML tags
hero.sub,我在帮助人们理解复杂性，让信息转换为价值,"I help people make sense of complexity — through structure, rhythm and quiet decisions.",
hero.card.name,Zhao Yuanxuan · 赵元轩,Zhao Yuanxuan · 赵元轩,
hero.card.name_body,高级产品设计师，长期工作于数据、决策系统与 AI Native 界面 — 10+ 年把模糊变成结构。,"Senior product designer working across data, decision systems and AI-native interfaces — 10+ years turning ambiguity into structure.",
hero.card.status,正在寻找一个好产品,Looking for a Good Product,
hero.card.status_body,对那些把设计判断与工程严谨等量齐观的团队保持开放。,Open to teams building meaningful tools where design judgement and engineering rigor meet on equal terms.,
hero.card.based,Beijing · 39.9° N,Beijing · 39.9° N,
hero.card.based_body,常驻北京，与全球团队合作长周期项目 — 平静的节奏、锋利的问题、可持续的系统。,"Based in Beijing, working with global teams on long-horizon design — calm pace, sharp questions, lasting systems.",
about.heading,关于,About,
about.sub,10+ 年，横跨大型平台与高速创业公司 — 为复杂系统设计结构与秩序，并探索 AI 时代下的交互方式。,"10+ years across platforms and startups — designing systems for complexity, and exploring interaction in the AI era.",
about.bio,10+ 年数字产品体验设计经验，横跨大型平台与高速成长型创业公司。致力于设计帮助人们理解复杂性的系统，并探索 AI 时代下的交互设计与体验体系。,"10+ years of digital product experience design — across large platforms and high-growth startups. I design systems that help people understand complexity, and explore interaction patterns for the AI era.",
about.fact_label.name,姓名,Name,
about.fact_label.title,Title,Title,
about.fact_label.location,城市,Location,
about.fact_label.years,经验,Years,
about.fact_label.status,状态,Status,
about.fact_label.contact,联系方式,Contact,
about.fact_value.name,赵元轩 · Zhao Yuanxuan,Zhao Yuanxuan,
about.tags[0],音视频,,
about.tags[1],交易与履约,,
about.tags[2],出行服务,,
about.tags[3],体验与体系,,
about.tags[4],解决问题,,
about.tags[5],定义复杂,,
career.heading,经历,Career,
career.now,至今,Present,
career.rows.kuaishou.co,快手,Kuaishou,
career.rows.kuaishou.role,交互设计专家,,
career.rows.kuaishou.b1,负责人力资源线 — 组织发展 ToB、ToC 相关体验设计，并制定与指导设计规范,,
career.rows.kuaishou.b2,负责 HR 业务部门的 AI、低代码平台等创新项目的交互体验设计,,
career.rows.lingdong.co,零洞科技,,
career.rows.lingdong.b1,负责零洞智慧家（智能家居）相关体验设计,,
career.rows.tencent.co,腾讯,Tencent,
career.rows.tencent.role,交互设计专家,,
career.rows.tencent.b1,负责腾讯地图基线与导航模块交互设计；0–1 搭建并完善组件库相关设计原则并推动落地,,
career.rows.iqiyi.co,爱奇艺,iQIYI,
career.rows.iqiyi.role,设计经理,,
career.rows.iqiyi.chip,8级,,
career.rows.iqiyi.b1,负责海外事业部全端产品（移动端、PC 端、TV 端）与垂直模块的设计优化与设计策略,,
career.rows.sf.co,顺丰同城,,
career.rows.sf.role,交互负责人,,
career.rows.sf.b1,负责顺丰同城急送用户侧、商家侧、骑士配送侧、骑士管理侧、业务运维侧等 ToC 和 ToB 业务,,
career.rows.sf.b2,0–1–100 搭建与完善交互团队，带领团队赋能业务，创新设计价值,,
career.rows.sogou.co,搜狗搜索,Sogou Search,
career.rows.sogou.role,高级交互设计师,,
career.rows.edu.co,北京理工大学,Beijing Institute of Technology,
career.rows.edu.role,设计学硕士,,
beliefs.heading,设计信念,Design Beliefs,
beliefs.items[0],复杂系统需要结构化表达,,
beliefs.items[1],AI 时代，设计的核心是判断力与品味,,
beliefs.items[2],好的体验设计，本质是降低认知摩擦,,
work.heading,精选作品,Selected Work,
work.sub,下面是一组定义了我思考方式的项目 — 跨越 AI、数据、出行与平台体系。,"A short list of projects that defined how I think — across AI, data, mobility, and platform systems.",
work.hint,更多案例可应需提供。,More case studies on request.,
work.p1.src,Kuaishou · 快手,Kuaishou,
work.p1.title,组织决策系统提效,,
work.p1.line,如何让管理者更高效地判断团队成绩分布、做出公正公平的裁决。,,
work.p2.src,Kuaishou · 快手,Kuaishou,
work.p2.title,图表选型引擎,,
work.p2.line,"把""凭感觉选图""抽象为 47 条规则、Top-1 准确率 89%。",,
work.p3.src,SF · 顺丰同城,SF Express City,
work.p3.title,履约体验治理,,
